ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-1.977539:1.942383:-26.17822	0.4350586:2.421387:-25.91016	0.7338867:2.144531:-30.36621	0.8876953:8.081543:-12.07617	0.0974084:14.91163:-37.73404	Start	Default	
-2.039063:2.003906:-26.24414	0.4438477:2.456543:-25.93652	0.7426758:2.144531:-30.36621	0.8876953:8.081543:-12.07617	0.09819008:14.91165:-37.74461	Start	Default	
-2.039063:2.003906:-26.24414	0.4438477:2.456543:-25.93652	0.7426758:2.144531:-30.36621	0.8876953:8.081543:-12.07617	0.0913325:14.9113:-37.75773	Start	Default	
-2.039063:2.003906:-26.24414	0.4438477:2.456543:-25.93652	0.7426758:2.144531:-30.36621	0.8876953:8.081543:-12.07617	0.08213441:14.91038:-37.75565	Start	Default	
-2.126953:2.030273:-26.2749	0.4438477:2.456543:-25.96289	0.7558594:2.144531:-30.36182	0.8876953:8.081543:-12.07617	0.07589271:14.90964:-37.7441	Start	Default	
-2.126953:2.030273:-26.2749	0.4438477:2.456543:-25.96289	0.7558594:2.144531:-30.36182	0.8876953:8.081543:-12.07617	0.07692168:14.91044:-37.75886	Start	Default	
-2.126953:2.030273:-26.2749	0.4438477:2.456543:-25.96289	0.7558594:2.144531:-30.36182	0.8876953:8.081543:-12.07617	0.0814401:14.91097:-37.75875	Start	Default	
-2.126953:2.030273:-26.2749	0.4438477:2.456543:-25.96289	0.7558594:2.144531:-30.36182	0.8876953:8.081543:-12.07617	0.08727483:14.91029:-37.73284	Start	Default	
-2.140137:2.039063:-26.25732	0.4482422:2.465332:-25.98486	0.7558594:2.135742:-30.36621	0.8876953:8.081543:-12.07617	0.08848123:14.91106:-37.75863	Start	Default	
-2.140137:2.039063:-26.25732	0.4482422:2.465332:-25.98486	0.7558594:2.135742:-30.36621	0.8876953:8.081543:-12.07617	0.08525562:14.91085:-37.75884	Start	Default	
-2.140137:2.039063:-26.25732	0.4482422:2.465332:-25.98486	0.7558594:2.135742:-30.36621	0.8876953:8.081543:-12.07617	0.08055503:14.91043:-37.75595	Start	Default	
-2.197266:2.034668:-26.25732	0.4526367:2.469727:-25.98926	0.7602539:2.131348:-30.36621	0.8876953:8.081543:-12.07617	0.07486388:14.9101:-37.75815	Start	Default	
-2.197266:2.034668:-26.25732	0.4526367:2.469727:-25.98926	0.7602539:2.131348:-30.36621	0.8876953:8.081543:-12.07617	0.07508746:14.91029:-37.7448	Start	Default	
-2.197266:2.034668:-26.25732	0.4526367:2.469727:-25.98926	0.7602539:2.131348:-30.36621	0.8876953:8.081543:-12.07617	0.09873772:14.89964:-37.5275	Start	Default	
-2.276367:1.999512:-26.22217	0.4833984:2.509277:-25.99365	0.7646484:2.135742:-30.37061	0.8876953:8.081543:-12.07617	0.1071926:14.873:-37.57988	Start	Default	
-2.276367:1.999512:-26.22217	0.4833984:2.509277:-25.99365	0.7646484:2.135742:-30.37061	0.8876953:8.081543:-12.07617	0.1054754:14.85966:-37.52874	Start	Default	
-2.276367:1.999512:-26.22217	0.4833984:2.509277:-25.99365	0.7646484:2.135742:-30.37061	0.8876953:8.081543:-12.07617	0.1093347:14.84835:-37.57328	Start	Default	
-2.311523:1.92041:-26.18262	0.5185547:2.566406:-26.00684	0.7646484:2.140137:-30.37061	0.8876953:8.081543:-12.07617	0.1107242:14.8194:-37.45607	Start	Default	
-2.311523:1.92041:-26.18262	0.5185547:2.566406:-26.00684	0.7646484:2.140137:-30.37061	0.8876953:8.081543:-12.07617	0.1107457:14.83647:-37.52707	Start	Default	
-2.311523:1.92041:-26.18262	0.5185547:2.566406:-26.00684	0.7646484:2.140137:-30.37061	0.8876953:8.081543:-12.07617	0.1081138:14.84715:-37.5764	Start	Default	
-2.311523:1.92041:-26.18262	0.5185547:2.566406:-26.00684	0.7646484:2.140137:-30.37061	0.8876953:8.081543:-12.07617	0.09917958:14.78459:-37.36338	Start	Bottle	
-2.267578:1.766602:-26.1167	0.5317383:2.592773:-26.02002	0.7646484:2.135742:-30.37939	0.8876953:8.081543:-12.07617	0.1091165:14.849:-37.59358	Start	Default	
-2.267578:1.766602:-26.1167	0.5317383:2.592773:-26.02002	0.7646484:2.135742:-30.37939	0.8876953:8.081543:-12.07617	0.106602:14.87153:-37.68268	Start	Default	
-2.267578:1.766602:-26.1167	0.5317383:2.592773:-26.02002	0.7646484:2.135742:-30.37939	0.8876953:8.081543:-12.07617	0.1088808:14.83289:-37.51986	Start	Default	
-2.206055:1.441406:-26.06836	0.5537109:2.597168:-26.02881	0.7734375:2.135742:-30.38379	0.8876953:8.081543:-12.07617	0.08164478:14.82364:-37.53188	Start	Bottle	
-2.206055:1.441406:-26.06836	0.5537109:2.597168:-26.02881	0.7734375:2.135742:-30.38379	0.8876953:8.081543:-12.07617	0.08300526:14.82185:-37.52136	Start	Bottle	
-2.206055:1.441406:-26.06836	0.5537109:2.597168:-26.02881	0.7734375:2.135742:-30.38379	0.8876953:8.081543:-12.07617	0.08351963:14.81628:-37.49901	Start	Bottle	
-2.206055:1.441406:-26.06836	0.5537109:2.597168:-26.02881	0.7734375:2.135742:-30.38379	0.8876953:8.081543:-12.07617	0.07488631:14.80579:-37.47898	Start	Bottle	
-2.175293:1.305176:-26.08594	0.4306641:2.605957:-25.97607	0.8129883:2.377441:-30.31787	0.8876953:8.081543:-12.07617	0.07814715:14.77362:-37.36376	Start	Bottle	
-2.175293:1.305176:-26.08594	0.4306641:2.605957:-25.97607	0.8129883:2.377441:-30.31787	0.8876953:8.081543:-12.07617	0.07274235:14.75395:-37.3119	Start	Bottle	
-2.175293:1.305176:-26.08594	0.4306641:2.605957:-25.97607	0.8129883:2.377441:-30.31787	0.8876953:8.081543:-12.07617	0.07494806:14.75342:-37.28981	Start	Bottle	
-2.175293:1.305176:-26.08594	0.4306641:2.605957:-25.97607	0.8129883:2.377441:-30.31787	0.8876953:8.081543:-12.07617	0.06528889:14.86135:-37.66947	Start	Bottle	
-2.15332:2.373047:-26.32764	0.421875:2.562012:-25.29053	0.918457:3.027832:-29.84766	0.8876953:8.081543:-12.07617	0.06277493:14.82225:-37.54087	Start	Bottle	
-2.15332:2.373047:-26.32764	0.421875:2.562012:-25.29053	0.918457:3.027832:-29.84766	0.8876953:8.081543:-12.07617	0.05816919:14.81287:-37.51009	Start	Bottle	
-2.15332:2.373047:-26.32764	0.421875:2.562012:-25.29053	0.918457:3.027832:-29.84766	0.8876953:8.081543:-12.07617	0.06435877:14.84342:-37.65115	Start	Default	
-2.223633:3.106934:-25.7959	0.4658203:3.133301:-23.96338	0.9316406:4.060547:-28.75342	0.8876953:8.081543:-12.07617	0.06173863:14.8861:-37.76723	Start	Default	
-2.223633:3.106934:-25.7959	0.4658203:3.133301:-23.96338	0.9316406:4.060547:-28.75342	0.8876953:8.081543:-12.07617	0.1812589:14.74782:-37.45358	Start	CupRight	
-2.223633:3.106934:-25.7959	0.4658203:3.133301:-23.96338	0.9316406:4.060547:-28.75342	0.8876953:8.081543:-12.07617	0.1904368:14.74314:-37.42789	Start	CupRight	
-2.267578:3.779297:-24.2666	0.7646484:4.45166:-22.24512	0.9316406:4.987793:-27.30762	0.8876953:8.081543:-12.07617	0.1650562:14.7806:-37.52298	ReachForBottle	CupRight	
-2.267578:3.779297:-24.2666	0.7646484:4.45166:-22.24512	0.9316406:4.987793:-27.30762	0.8876953:8.081543:-12.07617	0.1043876:14.88525:-37.76541	ReachForBottle	CupRight	
-2.267578:3.779297:-24.2666	0.7646484:4.45166:-22.24512	0.9316406:4.987793:-27.30762	0.8876953:8.081543:-12.07617	0.2230179:14.7112:-37.34724	ReachForBottle	CupRight	
-2.267578:3.779297:-24.2666	0.7646484:4.45166:-22.24512	0.9316406:4.987793:-27.30762	0.8876953:8.081543:-12.07617	0.1336801:14.83547:-37.63982	ReachForBottle	CupRight	
-2.245605:4.790039:-22.23633	1.243652:5.791992:-20.40381	0.8701172:5.493164:-25.52344	0.8876953:8.081543:-12.07617	0.17652:14.77365:-37.49028	ReachForBottle	CupRight	
-2.245605:4.790039:-22.23633	1.243652:5.791992:-20.40381	0.8701172:5.493164:-25.52344	0.8876953:8.081543:-12.07617	0.1744358:14.77594:-37.49784	ReachForBottle	CupRight	
-2.245605:4.790039:-22.23633	1.243652:5.791992:-20.40381	0.8701172:5.493164:-25.52344	0.8876953:8.081543:-12.07617	0.09820314:14.88437:-37.75932	ReachForBottle	CupRight	
-2.245605:4.790039:-22.23633	1.243652:5.791992:-20.40381	0.8701172:5.493164:-25.52344	0.8876953:8.081543:-12.07617	0.1460744:14.82038:-37.58906	ReachForBottle	CupRight	
-2.179688:5.752441:-20.14453	1.63916:6.70166:-18.50537	0.7954102:5.717285:-23.55029	0.8876953:8.081543:-12.07617	0.09587776:14.88612:-37.75371	ReachForBottle	Default	
