ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-1.278809:3.023438:-26.10352	0.6635742:2.86084:-24.52588	0.8217773:2.315918:-30.09814	0.909668:8.090332:-12.40137	-0.2477242:14.67392:-33.46484	Start	Default	
-1.278809:3.023438:-26.10352	0.6635742:2.86084:-24.52588	0.8217773:2.315918:-30.09814	0.909668:8.090332:-12.40137	-0.2246361:14.64672:-33.02266	Start	Default	
-1.384277:2.988281:-26.13867	0.6591797:2.847656:-24.53027	0.8217773:2.320313:-30.09814	0.909668:8.090332:-12.40137	-0.2960052:14.69978:-34.02509	Start	Default	
-1.384277:2.988281:-26.13867	0.6591797:2.847656:-24.53027	0.8217773:2.320313:-30.09814	0.909668:8.090332:-12.40137	-0.3019605:14.69951:-34.0602	Start	Default	
-1.384277:2.988281:-26.13867	0.6591797:2.847656:-24.53027	0.8217773:2.320313:-30.09814	0.909668:8.090332:-12.40137	-0.3051512:14.69944:-34.09121	Start	Default	
-1.450195:2.961914:-26.15625	0.6547852:2.847656:-24.53027	0.8217773:2.329102:-30.10254	0.909668:8.090332:-12.40137	-0.3038377:14.70049:-34.12918	Start	Default	
-1.450195:2.961914:-26.15625	0.6547852:2.847656:-24.53027	0.8217773:2.329102:-30.10254	0.909668:8.090332:-12.40137	-0.3152775:14.71719:-34.43541	Start	Default	
-1.450195:2.961914:-26.15625	0.6547852:2.847656:-24.53027	0.8217773:2.329102:-30.10254	0.909668:8.090332:-12.40137	-0.4029078:14.84962:-36.68478	Start	Default	
-1.450195:2.961914:-26.15625	0.6547852:2.847656:-24.53027	0.8217773:2.329102:-30.10254	0.909668:8.090332:-12.40137	-0.4014871:14.84943:-36.71503	Start	Default	
-1.507324:2.939941:-26.18262	0.628418:2.8125:-24.5127	0.8173828:2.324707:-30.10693	0.909668:8.090332:-12.40137	-0.4078548:14.85989:-36.85736	Start	Default	
-1.507324:2.939941:-26.18262	0.628418:2.8125:-24.5127	0.8173828:2.324707:-30.10693	0.909668:8.090332:-12.40137	-0.4308144:14.83685:-36.71714	Start	Default	
-1.507324:2.939941:-26.18262	0.628418:2.8125:-24.5127	0.8173828:2.324707:-30.10693	0.909668:8.090332:-12.40137	-0.4385579:14.84507:-37.16583	Start	Default	
-1.546875:2.935547:-26.16504	0.6152344:2.803711:-24.49072	0.8085938:2.34668:-30.07178	0.909668:8.090332:-12.40137	-0.3188091:14.27077:-34.91107	Start	Default	
-1.546875:2.935547:-26.16504	0.6152344:2.803711:-24.49072	0.8085938:2.34668:-30.07178	0.909668:8.090332:-12.40137	-0.3907102:14.37176:-36.09655	Start	Default	
-1.546875:2.935547:-26.16504	0.6152344:2.803711:-24.49072	0.8085938:2.34668:-30.07178	0.909668:8.090332:-12.40137	-0.4869684:14.75415:-37.75746	Start	Bottle	
-1.696289:2.62793:-25.72559	0.7822266:2.724609:-24.00732	0.8745117:2.619141:-29.52686	0.9052734:8.090332:-12.40137	-0.2607105:13.33987:-33.33989	Start	Bottle	
-1.696289:2.62793:-25.72559	0.7822266:2.724609:-24.00732	0.8745117:2.619141:-29.52686	0.9052734:8.090332:-12.40137	-0.2582107:13.23096:-32.96118	Start	Bottle	
