ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-2.562012:3.498047:-25.20703	0.9448242:2.214844:-23.15039	1.265625:2.192871:-30.43213	0.9536133:8.085938:-12.17285	-0.3075187:14.88482:-37.43998	Start	Default	
-2.570801:3.52002:-25.16748	0.9624023:2.206055:-23.15479	1.26123:2.188477:-30.43213	0.9536133:8.085938:-12.17285	-0.3047645:14.8742:-37.37336	Start	Default	
-2.570801:3.52002:-25.16748	0.9624023:2.206055:-23.15479	1.26123:2.188477:-30.43213	0.9536133:8.085938:-12.17285	-0.3216798:14.89568:-37.69969	Start	Default	
-2.570801:3.52002:-25.16748	0.9624023:2.206055:-23.15479	1.26123:2.188477:-30.43213	0.9536133:8.085938:-12.17285	-0.3188104:14.89483:-37.69234	Start	Default	
-2.548828:3.546387:-25.1499	0.984375:2.219238:-23.15479	1.26123:2.179688:-30.43652	0.9536133:8.085938:-12.17285	-0.3199364:14.89432:-37.67194	Start	Default	
-2.548828:3.546387:-25.1499	0.984375:2.219238:-23.15479	1.26123:2.179688:-30.43652	0.9536133:8.085938:-12.17285	-0.3156944:14.88874:-37.59723	Start	Default	
-2.548828:3.546387:-25.1499	0.984375:2.219238:-23.15479	1.26123:2.179688:-30.43652	0.9536133:8.085938:-12.17285	-0.3279526:14.89044:-37.57486	Start	Default	
-2.548828:3.546387:-25.1499	0.984375:2.219238:-23.15479	1.26123:2.179688:-30.43652	0.9536133:8.085938:-12.17285	-0.3250949:14.89311:-37.638	Start	Default	
-2.518066:3.550781:-25.18066	0.9887695:2.20166:-23.15479	1.256836:2.179688:-30.42773	0.9536133:8.085938:-12.17285	-0.3228575:14.88906:-37.56717	Start	Default	
-2.518066:3.550781:-25.18066	0.9887695:2.20166:-23.15479	1.256836:2.179688:-30.42773	0.9536133:8.085938:-12.17285	-0.3226379:14.88696:-37.53648	Start	Default	
-2.518066:3.550781:-25.18066	0.9887695:2.20166:-23.15479	1.256836:2.179688:-30.42773	0.9536133:8.085938:-12.17285	-0.3229317:14.88811:-37.55562	Start	Default	
-2.540039:3.550781:-25.21143	0.9887695:2.162109:-23.16797	1.248047:2.179688:-30.41455	0.9536133:8.085938:-12.17285	-0.3220771:14.88788:-37.52605	Start	Default	
-2.540039:3.550781:-25.21143	0.9887695:2.162109:-23.16797	1.248047:2.179688:-30.41455	0.9536133:8.085938:-12.17285	-0.3244538:14.88814:-37.55316	Start	Default	
-2.540039:3.550781:-25.21143	0.9887695:2.162109:-23.16797	1.248047:2.179688:-30.41455	0.9536133:8.085938:-12.17285	-0.3245499:14.89011:-37.54448	Start	Default	
-2.548828:3.533203:-25.22021	0.9536133:2.140137:-23.18555	1.252441:2.188477:-30.40576	0.9536133:8.085938:-12.17285	-0.3253835:14.89251:-37.55389	Start	Default	
-2.548828:3.533203:-25.22021	0.9536133:2.140137:-23.18555	1.252441:2.188477:-30.40576	0.9536133:8.085938:-12.17285	-0.321771:14.89041:-37.46544	Start	Default	
-2.548828:3.533203:-25.22021	0.9536133:2.140137:-23.18555	1.252441:2.188477:-30.40576	0.9536133:8.085938:-12.17285	-0.3284453:14.89021:-37.55098	Start	Default	
-2.548828:3.533203:-25.22021	0.9536133:2.140137:-23.18555	1.252441:2.188477:-30.40576	0.9536133:8.085938:-12.17285	-0.1586699:14.14195:-34.15368	Start	Default	
-2.557617:3.515625:-25.27734	0.9755859:2.144531:-23.18115	1.256836:2.188477:-30.40576	0.9536133:8.085938:-12.17285	-0.2861606:14.38579:-36.31988	Start	Bottle	
-2.557617:3.515625:-25.27734	0.9755859:2.144531:-23.18115	1.256836:2.188477:-30.40576	0.9536133:8.085938:-12.17285	-0.3369788:14.72115:-37.64826	Start	Bottle	
-2.557617:3.515625:-25.27734	0.9755859:2.144531:-23.18115	1.256836:2.188477:-30.40576	0.9536133:8.085938:-12.17285	-0.3383491:14.7336:-37.68623	Start	Bottle	
-2.557617:3.537598:-25.34766	1.010742:2.15332:-23.17236	1.265625:2.197266:-30.40576	0.9536133:8.085938:-12.17285	-0.335543:14.66552:-37.49569	Start	Bottle	
-2.557617:3.537598:-25.34766	1.010742:2.15332:-23.17236	1.265625:2.197266:-30.40576	0.9536133:8.085938:-12.17285	-0.3320496:14.64043:-37.41995	Start	Bottle	
-2.557617:3.537598:-25.34766	1.010742:2.15332:-23.17236	1.265625:2.197266:-30.40576	0.9536133:8.085938:-12.17285	-0.3180636:14.55987:-37.14897	Start	Bottle	
-2.557617:3.537598:-25.34766	1.010742:2.15332:-23.17236	1.265625:2.197266:-30.40576	0.9536133:8.085938:-12.17285	-0.3349854:14.63382:-37.41559	Start	Bottle	
-2.592773:3.480469:-25.44434	0.9580078:2.126953:-23.17676	1.375488:2.25:-30.41455	0.9536133:8.085938:-12.17285	-0.3397674:14.61277:-37.36037	Start	Bottle	
-2.592773:3.480469:-25.44434	0.9580078:2.126953:-23.17676	1.375488:2.25:-30.41455	0.9536133:8.085938:-12.17285	-0.3480752:14.62546:-37.40773	Start	Bottle	
-2.592773:3.480469:-25.44434	0.9580078:2.126953:-23.17676	1.375488:2.25:-30.41455	0.9536133:8.085938:-12.17285	-0.3421473:14.61961:-37.36526	Start	Bottle	
