ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-0.5449219:4.886719:-26.30127	1.349121:2.359863:-25.17627	1.573242:2.043457:-30.48047	1.182129:8.116699:-12.28271	-0.5424449:14.90379:-37.96664	Start	Default	
-0.5449219:4.886719:-26.30127	1.349121:2.359863:-25.17627	1.573242:2.043457:-30.48047	1.182129:8.116699:-12.28271	-0.5433133:14.90153:-37.9737	Start	Default	
-0.5449219:4.886719:-26.30127	1.349121:2.359863:-25.17627	1.573242:2.043457:-30.48047	1.182129:8.116699:-12.28271	-0.5376316:14.90222:-37.97901	Start	Default	
-0.6503906:4.886719:-26.0376	1.375488:2.381836:-25.12793	1.577637:2.043457:-30.48486	1.182129:8.116699:-12.28271	-0.534851:14.90368:-37.97137	Start	Default	
-0.6503906:4.886719:-26.0376	1.375488:2.381836:-25.12793	1.577637:2.043457:-30.48486	1.182129:8.116699:-12.28271	-0.5363033:14.90383:-37.96912	Start	Default	
-0.6503906:4.886719:-26.0376	1.375488:2.381836:-25.12793	1.577637:2.043457:-30.48486	1.182129:8.116699:-12.28271	-0.5376546:14.90513:-37.97093	Start	Default	
-0.6503906:4.886719:-26.0376	1.375488:2.381836:-25.12793	1.577637:2.043457:-30.48486	1.182129:8.116699:-12.28271	-0.5387893:14.90541:-37.97257	Start	Default	
-0.8129883:4.741699:-25.9585	1.437012:2.412598:-25.09277	1.582031:2.047852:-30.48926	1.177734:8.116699:-12.27832	-0.5393491:14.90452:-37.96483	Start	Default	
-0.8129883:4.741699:-25.9585	1.437012:2.412598:-25.09277	1.582031:2.047852:-30.48926	1.177734:8.116699:-12.27832	-0.5406517:14.90329:-37.96581	Start	Default	
-0.8129883:4.741699:-25.9585	1.437012:2.412598:-25.09277	1.582031:2.047852:-30.48926	1.177734:8.116699:-12.27832	-0.5400756:14.90182:-37.96262	Start	Default	
-0.9052734:4.63623:-25.67725	1.463379:2.399414:-25.0708	1.59082:2.052246:-30.49805	1.17334:8.116699:-12.27832	-0.5395832:14.90206:-37.95841	Start	Default	
-0.9052734:4.63623:-25.67725	1.463379:2.399414:-25.0708	1.59082:2.052246:-30.49805	1.17334:8.116699:-12.27832	-0.5393173:14.90118:-37.95173	Start	Default	
-0.9052734:4.63623:-25.67725	1.463379:2.399414:-25.0708	1.59082:2.052246:-30.49805	1.17334:8.116699:-12.27832	-0.5075083:14.87718:-37.90835	Start	Default	
-0.9624023:4.54834:-25.43555	1.494141:2.381836:-25.04883	1.595215:2.052246:-30.50684	1.177734:8.116699:-12.27832	-0.4842876:14.83526:-37.96194	Start	Default	
-0.9624023:4.54834:-25.43555	1.494141:2.381836:-25.04883	1.595215:2.052246:-30.50684	1.177734:8.116699:-12.27832	-0.4356638:14.75605:-37.86845	Start	Default	
-0.9624023:4.54834:-25.43555	1.494141:2.381836:-25.04883	1.595215:2.052246:-30.50684	1.177734:8.116699:-12.27832	-0.4695797:14.74049:-38.00803	Start	Default	
-0.9624023:4.54834:-25.43555	1.494141:2.381836:-25.04883	1.595215:2.052246:-30.50684	1.177734:8.116699:-12.27832	-0.4661866:14.7368:-37.9765	Start	Default	
-0.9624023:4.54834:-25.43555	1.494141:2.381836:-25.04883	1.595215:2.052246:-30.50684	1.177734:8.116699:-12.27832	-0.4711243:14.74185:-38.00235	Start	Default	
-1.006348:4.521973:-25.25537	1.520508:2.38623:-24.99609	1.599609:2.061035:-30.51563	1.177734:8.116699:-12.27832	-0.4627588:14.71377:-37.93774	Start	Default	
-1.006348:4.521973:-25.25537	1.520508:2.38623:-24.99609	1.599609:2.061035:-30.51563	1.177734:8.116699:-12.27832	-0.5213684:14.74313:-37.98654	Start	Bottle	
-1.006348:4.521973:-25.25537	1.520508:2.38623:-24.99609	1.599609:2.061035:-30.51563	1.177734:8.116699:-12.27832	-0.5703539:14.73989:-37.95314	Start	Bottle	
-0.7822266:4.337402:-25.0752	1.63916:2.359863:-24.76758	1.555664:2.263184:-30.43652	1.182129:8.116699:-12.28271	-0.5937877:14.73437:-37.94817	Start	Default	
-0.7822266:4.337402:-25.0752	1.63916:2.359863:-24.76758	1.555664:2.263184:-30.43652	1.182129:8.116699:-12.28271	-0.5925337:14.75741:-37.98351	Start	Default	
-0.7822266:4.337402:-25.0752	1.63916:2.359863:-24.76758	1.555664:2.263184:-30.43652	1.182129:8.116699:-12.28271	-0.5891052:14.73817:-37.96021	Start	Default	
-0.2944336:3.366211:-25.13672	1.55127:2.759766:-24.09521	1.415039:3.023438:-29.85645	1.177734:8.116699:-12.27832	-0.5073183:14.73539:-37.95609	Start	Bottle	
-0.2944336:3.366211:-25.13672	1.55127:2.759766:-24.09521	1.415039:3.023438:-29.85645	1.177734:8.116699:-12.27832	-0.4692194:14.71762:-37.92985	Start	Default	
-0.2944336:3.366211:-25.13672	1.55127:2.759766:-24.09521	1.415039:3.023438:-29.85645	1.177734:8.116699:-12.27832	-0.5264344:14.74533:-37.99473	Start	Bottle	
-0.2944336:3.366211:-25.13672	1.55127:2.759766:-24.09521	1.415039:3.023438:-29.85645	1.177734:8.116699:-12.27832	-0.4776668:14.73588:-37.94933	Start	Default	
-0.4350586:3.594727:-24.3501	1.30957:4.08252:-23.17676	1.239258:4.157227:-28.71387	1.177734:8.116699:-12.27832	-0.5622998:14.72384:-37.91989	Start	Bottle	
-0.4350586:3.594727:-24.3501	1.30957:4.08252:-23.17676	1.239258:4.157227:-28.71387	1.177734:8.116699:-12.27832	-0.5378105:14.73979:-37.93597	Start	Bottle	
-0.4350586:3.594727:-24.3501	1.30957:4.08252:-23.17676	1.239258:4.157227:-28.71387	1.177734:8.116699:-12.27832	-0.5430038:14.73423:-37.93673	Start	Bottle	
-0.4350586:3.594727:-24.3501	1.30957:4.08252:-23.17676	1.239258:4.157227:-28.71387	1.177734:8.116699:-12.27832	-0.5423883:14.73342:-37.92759	Start	Bottle	
-0.8701172:4.592285:-23.07568	1.274414:5.989746:-21.95947	1.081055:5.176758:-27.20654	1.177734:8.116699:-12.27832	-0.581807:14.7549:-37.95174	ReachForBottle	Default	
-0.8701172:4.592285:-23.07568	1.274414:5.989746:-21.95947	1.081055:5.176758:-27.20654	1.177734:8.116699:-12.27832	-0.5805131:14.74444:-37.93451	ReachForBottle	Default	
-0.8701172:4.592285:-23.07568	1.274414:5.989746:-21.95947	1.081055:5.176758:-27.20654	1.177734:8.116699:-12.27832	-0.582864:14.7473:-37.94215	ReachForBottle	Default	
-1.186523:5.497559:-21.40576	1.577637:7.316895:-20.60156	1.072266:5.563477:-25.48828	1.177734:8.116699:-12.27832	-0.5609793:14.74199:-37.94066	ReachForBottle	Bottle	
-1.186523:5.497559:-21.40576	1.577637:7.316895:-20.60156	1.072266:5.563477:-25.48828	1.177734:8.116699:-12.27832	-0.5312272:14.73659:-37.93399	ReachForBottle	Bottle	
-1.186523:5.497559:-21.40576	1.577637:7.316895:-20.60156	1.072266:5.563477:-25.48828	1.177734:8.116699:-12.27832	-0.5310757:14.73291:-37.92316	ReachForBottle	Bottle	
-1.186523:5.497559:-21.40576	1.577637:7.316895:-20.60156	1.072266:5.563477:-25.48828	1.177734:8.116699:-12.27832	-0.5308492:14.73041:-37.91528	ReachForBottle	Bottle	
-1.366699:6.077637:-19.4458	2.109375:8.182617:-19.09863	1.199707:5.493164:-23.57227	1.182129:8.116699:-12.27832	-0.5385743:14.72713:-37.90118	ReachForBottle	Bottle	
-1.366699:6.077637:-19.4458	2.109375:8.182617:-19.09863	1.199707:5.493164:-23.57227	1.182129:8.116699:-12.27832	-0.544966:14.72944:-37.90865	ReachForBottle	Bottle	
-1.366699:6.077637:-19.4458	2.109375:8.182617:-19.09863	1.199707:5.493164:-23.57227	1.182129:8.116699:-12.27832	-0.543229:14.72657:-37.89828	ReachForBottle	Bottle	
-1.366699:6.077637:-19.4458	2.109375:8.182617:-19.09863	1.199707:5.493164:-23.57227	1.182129:8.116699:-12.27832	-0.5473356:14.72269:-37.89054	ReachForBottle	Bottle	
-1.313965:6.249023:-17.8418	2.711426:8.29248:-17.77588	1.35791:5.273438:-21.86279	1.182129:8.116699:-12.27832	-0.5581908:14.71898:-37.87762	ReachForBottle	Bottle	
-1.313965:6.249023:-17.8418	2.711426:8.29248:-17.77588	1.35791:5.273438:-21.86279	1.182129:8.116699:-12.27832	-0.5705052:14.7254:-37.8882	ReachForBottle	Default	
-1.313965:6.249023:-17.8418	2.711426:8.29248:-17.77588	1.35791:5.273438:-21.86279	1.182129:8.116699:-12.27832	-0.5688924:14.73175:-37.89801	ReachForBottle	Default	
-1.164551:6.213867:-16.40039	3.282715:7.866211:-16.51904	1.480957:4.908691:-20.50488	1.177734:8.116699:-12.27832	-0.5632217:14.72017:-37.86729	ReachForBottle	Bottle	
-1.164551:6.213867:-16.40039	3.282715:7.866211:-16.51904	1.480957:4.908691:-20.50488	1.177734:8.116699:-12.27832	-0.5586992:14.73578:-37.90734	ReachForBottle	Bottle	
-1.164551:6.213867:-16.40039	3.282715:7.866211:-16.51904	1.480957:4.908691:-20.50488	1.177734:8.116699:-12.27832	-0.5540506:14.72472:-37.87997	ReachForBottle	Bottle	
