SOA	 Interactions	 Placements
SOA4	 Pour	 Right
SOA1	 Place	 Right
SOA4	 Pour	 Right
SOA4	 Pour	 Left
SOA3	 Place	 Left
SOA3	 Pour	 Left
SOA1	 Pour	 Right
SOA3	 Pour	 Right
SOA4	 Pour	 Right
SOA4	 Pour	 Right
SOA3	 Pour	 Left
SOA2	 Place	 Left
SOA2	 Place	 Left
SOA2	 Place	 Right
SOA2	 Place	 Right
SOA2	 Pour	 Right
SOA2	 Pour	 Left
SOA2	 Place	 Right
SOA1	 Pour	 Left
SOA4	 Place	 Left
SOA2	 Pour	 Left
SOA2	 Place	 Right
SOA2	 Place	 Left
SOA3	 Place	 Right
SOA1	 Place	 Left
SOA1	 Pour	 Right
SOA4	 Pour	 Left
SOA1	 Pour	 Left
SOA2	 Place	 Left
SOA3	 Place	 Left
SOA4	 Pour	 Left
SOA2	 Pour	 Left
SOA3	 Pour	 Left
SOA3	 Pour	 Right
SOA2	 Place	 Left
SOA4	 Place	 Right
SOA1	 Place	 Left
SOA1	 Pour	 Left
SOA1	 Place	 Right
SOA4	 Pour	 Left
SOA2	 Pour	 Right
SOA3	 Pour	 Right
SOA1	 Pour	 Left
SOA4	 Place	 Right
SOA1	 Place	 Left
SOA2	 Place	 Left
SOA1	 Place	 Right
SOA4	 Place	 Left
SOA3	 Place	 Left
SOA3	 Pour	 Left
SOA1	 Pour	 Right
SOA3	 Pour	 Left
SOA3	 Place	 Left
SOA2	 Place	 Right
SOA3	 Place	 Right
SOA2	 Pour	 Left
SOA2	 Place	 Right
SOA3	 Place	 Right
SOA2	 Place	 Left
SOA4	 Place	 Left
SOA4	 Place	 Right
SOA3	 Place	 Left
SOA2	 Place	 Right
SOA4	 Pour	 Left
SOA4	 Pour	 Right
SOA3	 Pour	 Left
SOA3	 Place	 Left
SOA2	 Pour	 Right
SOA2	 Pour	 Right
SOA2	 Pour	 Right
SOA4	 Pour	 Left
SOA1	 Place	 Right
SOA1	 Place	 Left
SOA1	 Place	 Left
SOA4	 Pour	 Left
SOA4	 Place	 Left
SOA4	 Pour	 Left
SOA1	 Pour	 Right
SOA3	 Place	 Left
SOA4	 Place	 Right
SOA1	 Pour	 Left
SOA4	 Place	 Left
SOA1	 Place	 Right
SOA4	 Place	 Left
SOA3	 Pour	 Left
SOA1	 Pour	 Left
SOA3	 Pour	 Right
SOA1	 Place	 Right
SOA2	 Place	 Left
SOA3	 Place	 Left
SOA2	 Pour	 Right
SOA4	 Place	 Right
SOA2	 Place	 Left
SOA1	 Place	 Left
SOA1	 Place	 Right
SOA3	 Pour	 Right
SOA2	 Place	 Right
SOA1	 Place	 Right
SOA3	 Pour	 Right
SOA1	 Pour	 Right
SOA4	 Place	 Right
SOA1	 Pour	 Right
SOA3	 Place	 Right
SOA4	 Pour	 Left
SOA1	 Pour	 Right
SOA4	 Pour	 Right
SOA2	 Place	 Right
SOA3	 Place	 Right
SOA3	 Pour	 Right
SOA4	 Place	 Left
SOA1	 Pour	 Left
SOA3	 Place	 Right
SOA3	 Pour	 Left
SOA2	 Pour	 Left
SOA3	 Place	 Right
SOA1	 Pour	 Right
SOA4	 Place	 Right
SOA2	 Pour	 Right
SOA4	 Pour	 Right
SOA1	 Place	 Left
SOA2	 Pour	 Right
SOA2	 Pour	 Left
SOA2	 Place	 Right
SOA1	 Pour	 Left
SOA4	 Pour	 Left
SOA3	 Pour	 Left
SOA4	 Place	 Left
SOA4	 Place	 Left
SOA3	 Pour	 Right
SOA1	 Place	 Left
SOA4	 Pour	 Right
SOA1	 Place	 Left
SOA2	 Pour	 Left
SOA3	 Place	 Right
SOA3	 Pour	 Right
SOA1	 Pour	 Left
SOA4	 Place	 Right
SOA1	 Pour	 Right
SOA3	 Place	 Right
SOA4	 Place	 Right
SOA1	 Pour	 Left
SOA3	 Place	 Left
SOA4	 Pour	 Right
SOA3	 Pour	 Right
SOA2	 Pour	 Left
SOA3	 Place	 Left
SOA2	 Pour	 Left
SOA1	 Place	 Right
SOA4	 Place	 Left
SOA2	 Place	 Left
SOA1	 Place	 Left
SOA4	 Place	 Right
SOA1	 Place	 Right
SOA1	 Pour	 Right
SOA2	 Pour	 Right
SOA4	 Pour	 Right
SOA3	 Pour	 Left
SOA3	 Place	 Right
SOA2	 Pour	 Right
SOA2	 Pour	 Left
