ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-1,239258,0,01757813,-26,30566,	-0,421875,4,557129,-25,97168,	0,84375,2,232422,-30,63428,	0,9404297,8,050781,-11,8916,	0,4204561,14,89382,-38,11137,	Start	Default	
-1,296387,0,140625,-26,31445,	-0,3999023,4,574707,-25,98926,	0,8481445,2,236816,-30,63428,	0,9404297,8,050781,-11,8916,	0,4333963,14,89576,-38,10996,	Start	Default	
-1,296387,0,140625,-26,31445,	-0,3999023,4,574707,-25,98926,	0,8481445,2,236816,-30,63428,	0,9404297,8,050781,-11,8916,	0,440555,14,89751,-38,10909,	Start	Default	
-1,296387,0,140625,-26,31445,	-0,3999023,4,574707,-25,98926,	0,8481445,2,236816,-30,63428,	0,9404297,8,050781,-11,8916,	0,4375182,14,89702,-38,10945,	Start	Default	
-1,313965,0,1098633,-26,34521,	-0,4086914,4,561523,-26,02002,	0,8393555,2,236816,-30,63867,	0,9404297,8,050781,-11,8916,	0,4272215,14,89506,-38,11061,	Start	Default	
-1,313965,0,1098633,-26,34521,	-0,4086914,4,561523,-26,02002,	0,8393555,2,236816,-30,63867,	0,9404297,8,050781,-11,8916,	0,4282256,14,89555,-38,1105,	Start	Default	
-1,313965,0,1098633,-26,34521,	-0,4086914,4,561523,-26,02002,	0,8393555,2,236816,-30,63867,	0,9404297,8,050781,-11,8916,	0,4256564,14,89498,-38,11085,	Start	Default	
-1,283203,0,1186523,-26,41113,	-0,3999023,4,565918,-26,02881,	0,8349609,2,228027,-30,63867,	0,9404297,8,050781,-11,8916,	0,4249133,14,89447,-38,11093,	Start	Default	
-1,283203,0,1186523,-26,41113,	-0,3999023,4,565918,-26,02881,	0,8349609,2,228027,-30,63867,	0,9404297,8,050781,-11,8916,	0,4281834,14,89626,-38,11061,	Start	Default	
-1,283203,0,1186523,-26,41113,	-0,3999023,4,565918,-26,02881,	0,8349609,2,228027,-30,63867,	0,9404297,8,050781,-11,8916,	0,4294026,14,89764,-38,11024,	Start	Default	
-1,283203,0,1186523,-26,41113,	-0,3999023,4,565918,-26,02881,	0,8349609,2,228027,-30,63867,	0,9404297,8,050781,-11,8916,	0,4464998,14,90036,-38,1083,	Start	Default	
-1,296387,0,1186523,-26,45508,	-0,3999023,4,570313,-26,0332,	0,8305664,2,219238,-30,64307,	0,9404297,8,055176,-11,8916,	0,447836,14,90155,-38,10839,	Start	Default	
