ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-2.821289:0.3515625:-26.87256	0.7734375:3.410156:-26.38916	1.107422:2.144531:-30.90234	0.9316406:8.068359:-11.97949	0.07535452:14.89983:-37.67617	Start	Default	
-3.080566:0.6503906:-26.82422	0.7514648:3.42334:-26.40234	1.111816:2.140137:-30.89795	0.9316406:8.068359:-11.97949	0.07516071:14.9086:-37.79803	Start	Default	
-3.080566:0.6503906:-26.82422	0.7514648:3.42334:-26.40234	1.111816:2.140137:-30.89795	0.9316406:8.068359:-11.97949	0.0859485:14.89751:-37.64281	Start	Default	
-3.080566:0.6503906:-26.82422	0.7514648:3.42334:-26.40234	1.111816:2.140137:-30.89795	0.9316406:8.068359:-11.97949	0.07735099:14.90839:-37.79781	Start	Default	
-3.221191:0.9316406:-26.78467	0.7514648:3.445313:-26.40234	1.116211:2.131348:-30.90234	0.9316406:8.068359:-11.97949	0.07223924:14.90827:-37.79768	Start	Default	
-3.221191:0.9316406:-26.78467	0.7514648:3.445313:-26.40234	1.116211:2.131348:-30.90234	0.9316406:8.068359:-11.97949	0.08708223:14.89847:-37.66879	Start	Default	
-3.221191:0.9316406:-26.78467	0.7514648:3.445313:-26.40234	1.116211:2.131348:-30.90234	0.9316406:8.068359:-11.97949	0.09914458:14.88502:-37.43168	Start	Default	
-3.335449:1.094238:-26.75391	0.7163086:3.427734:-26.40234	1.125:2.109375:-30.90234	0.9316406:8.068359:-11.98389	0.07625125:14.89482:-37.62489	Start	Default	
-3.335449:1.094238:-26.75391	0.7163086:3.427734:-26.40234	1.125:2.109375:-30.90234	0.9316406:8.068359:-11.98389	0.07567788:14.89596:-37.63367	Start	Default	
-3.335449:1.094238:-26.75391	0.7163086:3.427734:-26.40234	1.125:2.109375:-30.90234	0.9316406:8.068359:-11.98389	0.07643574:14.89517:-37.62114	Start	Default	
