ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-2,513672,0,02636719,-27,19775,	-1,788574,3,484863,-26,28809,	1,195313,1,876465,-30,54639,	0,8481445,8,085938,-12,09814,	0,1789645,14,9132,-37,60904,	Start	Default	
-2,513672,0,02636719,-27,19775,	-1,788574,3,484863,-26,28809,	1,195313,1,876465,-30,54639,	0,8481445,8,085938,-12,09814,	0,1795051,14,91334,-37,58305,	Start	Default	
-2,513672,0,02636719,-27,19775,	-1,788574,3,484863,-26,28809,	1,195313,1,876465,-30,54639,	0,8481445,8,085938,-12,09814,	0,1801283,14,91188,-37,67646,	Start	Default	
-2,562012,0,01318359,-27,20215,	-1,819336,3,524414,-26,30127,	1,199707,1,880859,-30,55078,	0,8481445,8,081543,-12,09375,	0,1825227,14,91109,-37,6714,	Start	Default	
-2,562012,0,01318359,-27,20215,	-1,819336,3,524414,-26,30127,	1,199707,1,880859,-30,55078,	0,8481445,8,081543,-12,09375,	0,1809258,14,91158,-37,68076,	Start	Default	
-2,562012,0,01318359,-27,20215,	-1,819336,3,524414,-26,30127,	1,199707,1,880859,-30,55078,	0,8481445,8,081543,-12,09375,	0,177028,14,91292,-37,68336,	Start	Default	
-2,562012,0,01318359,-27,20215,	-1,819336,3,524414,-26,30127,	1,199707,1,880859,-30,55078,	0,8481445,8,081543,-12,09375,	0,1748064,14,91372,-37,68419,	Start	Default	
-2,645508,0,-27,21094,	-1,828125,3,572754,-26,31445,	1,195313,1,880859,-30,55078,	0,8481445,8,081543,-12,09375,	0,1739364,14,91335,-37,69412,	Start	Default	
-2,645508,0,-27,21094,	-1,828125,3,572754,-26,31445,	1,195313,1,880859,-30,55078,	0,8481445,8,081543,-12,09375,	0,1712875,14,91349,-37,71239,	Start	Default	
-2,645508,0,-27,21094,	-1,828125,3,572754,-26,31445,	1,195313,1,880859,-30,55078,	0,8481445,8,081543,-12,09375,	0,170129,14,91369,-37,71178,	Start	Default	
-2,66748,0,03076172,-27,22852,	-1,801758,3,563965,-26,33643,	1,195313,1,885254,-30,54639,	0,8481445,8,081543,-12,09814,	0,1680262,14,91411,-37,71497,	Start	Default	
-2,66748,0,03076172,-27,22852,	-1,801758,3,563965,-26,33643,	1,195313,1,885254,-30,54639,	0,8481445,8,081543,-12,09814,	0,1668884,14,91394,-37,72464,	Start	Default	
-2,66748,0,03076172,-27,22852,	-1,801758,3,563965,-26,33643,	1,195313,1,885254,-30,54639,	0,8481445,8,081543,-12,09814,	0,1675963,14,91421,-37,7205,	Start	Default	
-2,66748,0,03076172,-27,22852,	-1,801758,3,563965,-26,33643,	1,195313,1,885254,-30,54639,	0,8481445,8,081543,-12,09814,	0,1686924,14,91372,-37,72477,	Start	Default	
-2,711426,0,1274414,-27,26367,	-1,788574,3,572754,-26,34521,	1,199707,1,880859,-30,54639,	0,8481445,8,081543,-12,09814,	0,1695265,14,91382,-37,71832,	Start	Default	
-2,711426,0,1274414,-27,26367,	-1,788574,3,572754,-26,34521,	1,199707,1,880859,-30,54639,	0,8481445,8,081543,-12,09814,	0,1721285,14,91371,-37,70811,	Start	Default	
-2,711426,0,1274414,-27,26367,	-1,788574,3,572754,-26,34521,	1,199707,1,880859,-30,54639,	0,8481445,8,081543,-12,09814,	0,1736265,14,91337,-37,70944,	Start	Default	
-2,711426,0,1274414,-27,26367,	-1,788574,3,572754,-26,34521,	1,199707,1,880859,-30,54639,	0,8481445,8,081543,-12,09814,	0,173498,14,91329,-37,70607,	Start	Default	
-2,711426,0,2373047,-27,30322,	-1,814941,3,568359,-26,37598,	1,195313,1,876465,-30,54639,	0,8481445,8,081543,-12,09814,	0,1731886,14,91316,-37,70758,	Start	Default	
-2,711426,0,2373047,-27,30322,	-1,814941,3,568359,-26,37598,	1,195313,1,876465,-30,54639,	0,8481445,8,081543,-12,09814,	0,1733455,14,91325,-37,70056,	Start	Default	
-2,711426,0,2373047,-27,30322,	-1,814941,3,568359,-26,37598,	1,195313,1,876465,-30,54639,	0,8481445,8,081543,-12,09814,	0,1733368,14,91349,-37,69188,	Start	Default	
-2,711426,0,2373047,-27,30322,	-1,814941,3,568359,-26,37598,	1,195313,1,876465,-30,54639,	0,8481445,8,081543,-12,09814,	0,2030383,14,90201,-37,78605,	Start	Default	
-2,724609,0,3867188,-27,32959,	-1,82373,3,51123,-26,41113,	1,190918,1,876465,-30,54639,	0,8481445,8,081543,-12,09375,	0,2141634,14,79789,-37,077,	Start	Default	
-2,724609,0,3867188,-27,32959,	-1,82373,3,51123,-26,41113,	1,190918,1,876465,-30,54639,	0,8481445,8,081543,-12,09375,	0,2097696,14,82208,-37,57507,	Start	Bottle	
