ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-2,091797,3,357422,-26,34521,	-0,5976563,1,96875,-24,95654,	1,195313,1,916016,-30,41895,	1,177734,8,024414,-11,69385,	0,03331193,14,84964,-37,74154,	Start	Default	
-2,109375,3,353027,-26,34082,	-0,6108398,1,951172,-24,94336,	1,190918,1,911621,-30,42334,	1,177734,8,024414,-11,69385,	0,03315356,14,84891,-37,70704,	Start	Default	
-2,109375,3,353027,-26,34082,	-0,6108398,1,951172,-24,94336,	1,190918,1,911621,-30,42334,	1,177734,8,024414,-11,69385,	0,03004193,14,84926,-37,69921,	Start	Default	
-2,109375,3,353027,-26,34082,	-0,6108398,1,951172,-24,94336,	1,190918,1,911621,-30,42334,	1,177734,8,024414,-11,69385,	0,03149859,14,84693,-37,62698,	Start	Default	
-2,109375,3,353027,-26,34082,	-0,6108398,1,951172,-24,94336,	1,190918,1,911621,-30,42334,	1,177734,8,024414,-11,69385,	0,03045421,14,84887,-37,71281,	Start	Default	
-2,109375,3,353027,-26,32764,	-0,6196289,1,96875,-24,9126,	1,186523,1,916016,-30,42773,	1,177734,8,024414,-11,69385,	0,03628303,14,84856,-37,70292,	Start	Default	
-2,109375,3,353027,-26,32764,	-0,6196289,1,96875,-24,9126,	1,186523,1,916016,-30,42773,	1,177734,8,024414,-11,69385,	0,03564155,14,84993,-37,7936,	Start	Default	
-2,109375,3,353027,-26,32764,	-0,6196289,1,96875,-24,9126,	1,186523,1,916016,-30,42773,	1,177734,8,024414,-11,69385,	0,03563841,14,84973,-37,74412,	Start	Default	
-2,109375,3,353027,-26,32764,	-0,6196289,1,96875,-24,9126,	1,186523,1,916016,-30,42773,	1,177734,8,024414,-11,69385,	0,03153034,14,84967,-37,74076,	Start	Default	
-2,10498,3,348633,-26,33203,	-0,6196289,1,995117,-24,90381,	1,177734,1,924805,-30,43213,	1,177734,8,024414,-11,69385,	0,03009609,14,84957,-37,72316,	Start	Default	
-2,10498,3,348633,-26,33203,	-0,6196289,1,995117,-24,90381,	1,177734,1,924805,-30,43213,	1,177734,8,024414,-11,69385,	0,02878924,14,84947,-37,72252,	Start	Default	
-2,10498,3,348633,-26,33203,	-0,6196289,1,995117,-24,90381,	1,177734,1,924805,-30,43213,	1,177734,8,024414,-11,69385,	0,02784071,14,85001,-37,73081,	Start	Default	
-2,10498,3,339844,-26,32764,	-0,6064453,1,999512,-24,90381,	1,186523,1,924805,-30,43652,	1,177734,8,024414,-11,69385,	0,03880517,14,84879,-37,76849,	Start	Default	
-2,10498,3,339844,-26,32764,	-0,6064453,1,999512,-24,90381,	1,186523,1,924805,-30,43652,	1,177734,8,024414,-11,69385,	0,05599218,14,84892,-37,81908,	Start	Default	
-2,10498,3,339844,-26,32764,	-0,6064453,1,999512,-24,90381,	1,186523,1,924805,-30,43652,	1,177734,8,024414,-11,69385,	0,05567024,14,8487,-37,88378,	Start	Default	
-2,10498,3,339844,-26,32764,	-0,6064453,1,999512,-24,90381,	1,186523,1,924805,-30,43652,	1,177734,8,024414,-11,69385,	0,0531346,14,84911,-37,89114,	Start	Default	
-2,135742,3,32666,-26,32324,	-0,5932617,1,990723,-24,89502,	1,186523,1,924805,-30,44092,	1,177734,8,024414,-11,69385,	0,03529591,14,85159,-37,90205,	Start	Default	
-2,135742,3,32666,-26,32324,	-0,5932617,1,990723,-24,89502,	1,186523,1,924805,-30,44092,	1,177734,8,024414,-11,69385,	0,01302689,14,85443,-37,95587,	Start	Default	
-2,135742,3,32666,-26,32324,	-0,5932617,1,990723,-24,89502,	1,186523,1,924805,-30,44092,	1,177734,8,024414,-11,69385,	0,01856398,14,85568,-38,00541,	Start	Default	
-2,135742,3,32666,-26,32324,	-0,5932617,1,990723,-24,89502,	1,186523,1,924805,-30,44092,	1,177734,8,024414,-11,69385,	0,02499062,14,85385,-37,94268,	Start	Default	
-2,162109,3,370605,-26,31445,	-0,5537109,1,986328,-24,85986,	1,177734,1,92041,-30,44971,	1,177734,8,024414,-11,69385,	0,02330382,14,85314,-37,92126,	Start	Default	
-2,162109,3,370605,-26,31445,	-0,5537109,1,986328,-24,85986,	1,177734,1,92041,-30,44971,	1,177734,8,024414,-11,69385,	0,02040491,14,85345,-37,92821,	Start	Default	
-2,162109,3,370605,-26,31445,	-0,5537109,1,986328,-24,85986,	1,177734,1,92041,-30,44971,	1,177734,8,024414,-11,69385,	0,02099961,14,85436,-37,95128,	Start	Default	
-2,20166,3,392578,-26,28809,	-0,5405273,1,977539,-24,82471,	1,17334,1,924805,-30,4541,	1,177734,8,024414,-11,69385,	0,0261787,14,8537,-37,93642,	Start	Default	
-2,20166,3,392578,-26,28809,	-0,5405273,1,977539,-24,82471,	1,17334,1,924805,-30,4541,	1,177734,8,024414,-11,69385,	0,0275215,14,85317,-37,92798,	Start	Default	
-2,20166,3,392578,-26,28809,	-0,5405273,1,977539,-24,82471,	1,17334,1,924805,-30,4541,	1,177734,8,024414,-11,69385,	0,02717779,14,85279,-37,92706,	Start	Default	
-2,20166,3,392578,-26,28809,	-0,5405273,1,977539,-24,82471,	1,17334,1,924805,-30,4541,	1,177734,8,024414,-11,69385,	0,0243177,14,8527,-37,91658,	Start	Default	
-2,241211,3,414551,-26,26611,	-0,5405273,1,96875,-24,79834,	1,168945,1,916016,-30,46289,	1,177734,8,024414,-11,68945,	0,02149383,14,85132,-37,84506,	Start	Default	
-2,241211,3,414551,-26,26611,	-0,5405273,1,96875,-24,79834,	1,168945,1,916016,-30,46289,	1,177734,8,024414,-11,68945,	0,0208655,14,8512,-37,83142,	Start	Default	
-2,241211,3,414551,-26,26611,	-0,5405273,1,96875,-24,79834,	1,168945,1,916016,-30,46289,	1,177734,8,024414,-11,68945,	0,01981437,14,8516,-37,84036,	Start	Default	
-2,241211,3,414551,-26,26611,	-0,5405273,1,96875,-24,79834,	1,168945,1,916016,-30,46289,	1,177734,8,024414,-11,68945,	0,01979359,14,85127,-37,83134,	Start	Default	
-2,263184,3,414551,-26,26172,	-0,5493164,1,977539,-24,78955,	1,160156,1,924805,-30,46289,	1,177734,8,024414,-11,69385,	0,0207042,14,85007,-37,80807,	Start	Default	
-2,263184,3,414551,-26,26172,	-0,5493164,1,977539,-24,78955,	1,160156,1,924805,-30,46289,	1,177734,8,024414,-11,69385,	0,02259819,14,85155,-37,84226,	Start	Default	
-2,263184,3,414551,-26,26172,	-0,5493164,1,977539,-24,78955,	1,160156,1,924805,-30,46289,	1,177734,8,024414,-11,69385,	0,02610942,14,85194,-37,86543,	Start	Default	
-2,232422,3,405762,-26,25293,	-0,5405273,1,981934,-24,78516,	1,155762,1,937988,-30,46729,	1,177734,8,024414,-11,69385,	0,02939132,14,85098,-37,83712,	Start	Default	
-2,232422,3,405762,-26,25293,	-0,5405273,1,981934,-24,78516,	1,155762,1,937988,-30,46729,	1,177734,8,024414,-11,69385,	0,03041791,14,84976,-37,79716,	Start	Default	
-2,232422,3,405762,-26,25293,	-0,5405273,1,981934,-24,78516,	1,155762,1,937988,-30,46729,	1,177734,8,024414,-11,69385,	0,02740537,14,85022,-37,78587,	Start	Default	
-2,232422,3,405762,-26,25293,	-0,5405273,1,981934,-24,78516,	1,155762,1,937988,-30,46729,	1,177734,8,024414,-11,69385,	0,07239503,14,77681,-36,18167,	Start	Default	
-2,20166,3,366211,-26,26611,	-0,5273438,1,981934,-24,79834,	1,155762,1,942383,-30,47607,	1,177734,8,024414,-11,69385,	0,02160278,14,85005,-38,05435,	Start	Default	
-2,20166,3,366211,-26,26611,	-0,5273438,1,981934,-24,79834,	1,155762,1,942383,-30,47607,	1,177734,8,024414,-11,69385,	0,04494814,14,81864,-37,97143,	Start	Default	
