ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-4.223145:0.06152344:-30.56396	-3.805664:-1.801758:-26.77148	1.463379:2.553223:-30.82764	0.8305664:8.077148:-12.28711	0.3503423:14.98996:-35.68919	Start	Default	
-4.223145:0.06152344:-30.56396	-3.805664:-1.801758:-26.77148	1.463379:2.553223:-30.82764	0.8305664:8.077148:-12.28711	0.3469102:14.98957:-35.76951	Start	Default	
-4.223145:0.06152344:-30.56396	-3.805664:-1.801758:-26.77148	1.463379:2.553223:-30.82764	0.8305664:8.077148:-12.28711	0.3440977:14.99086:-35.92958	Start	Default	
-4.324219:-0.1977539:-30.6958	-3.757324:-1.709473:-26.75391	1.467773:2.548828:-30.82764	0.8305664:8.077148:-12.28711	0.3678555:15.00239:-35.30597	Start	Default	
-4.324219:-0.1977539:-30.6958	-3.757324:-1.709473:-26.75391	1.467773:2.548828:-30.82764	0.8305664:8.077148:-12.28711	0.3701188:15.00438:-35.22786	Start	Default	
-4.324219:-0.1977539:-30.6958	-3.757324:-1.709473:-26.75391	1.467773:2.548828:-30.82764	0.8305664:8.077148:-12.28711	0.3898851:15.02185:-34.60843	Start	Default	
-4.368164:-0.28125:-30.7793	-3.700195:-1.415039:-26.75391	1.476563:2.553223:-30.82764	0.8305664:8.077148:-12.28711	0.3916344:15.03132:-34.46542	Start	Default	
-4.368164:-0.28125:-30.7793	-3.700195:-1.415039:-26.75391	1.476563:2.553223:-30.82764	0.8305664:8.077148:-12.28711	0.3945881:15.02938:-34.55398	Start	Default	
-4.368164:-0.28125:-30.7793	-3.700195:-1.415039:-26.75391	1.476563:2.553223:-30.82764	0.8305664:8.077148:-12.28711	0.3860495:15.02812:-34.72521	Start	Default	
-4.368164:-0.28125:-30.7793	-3.700195:-1.415039:-26.75391	1.476563:2.553223:-30.82764	0.8305664:8.077148:-12.28711	0.4528477:15.06615:-32.78288	Start	Default	
-4.460449:-0.2021484:-30.95068	-3.629883:-1.041504:-26.78467	1.54248:2.636719:-30.81006	0.8305664:8.077148:-12.28711	0.4560219:15.07627:-32.45948	Start	Default	
-4.460449:-0.2021484:-30.95068	-3.629883:-1.041504:-26.78467	1.54248:2.636719:-30.81006	0.8305664:8.077148:-12.28711	0.4208388:15.02182:-34.0418	Start	Default	
-4.460449:-0.2021484:-30.95068	-3.629883:-1.041504:-26.78467	1.54248:2.636719:-30.81006	0.8305664:8.077148:-12.28711	0.3066584:14.88815:-37.04527	Start	Default	
-4.460449:-0.2021484:-30.95068	-3.629883:-1.041504:-26.78467	1.54248:2.636719:-30.81006	0.8305664:8.077148:-12.28711	0.2701888:14.75737:-37.05193	Start	Default	
-4.368164:0.3603516:-31.12646	-3.647461:0.7294922:-26.98682	1.779785:2.95752:-30.62988	0.8305664:8.077148:-12.28711	0.2535693:14.87245:-37.81668	Start	Default	
-4.368164:0.3603516:-31.12646	-3.647461:0.7294922:-26.98682	1.779785:2.95752:-30.62988	0.8305664:8.077148:-12.28711	0.245321:14.91142:-38.00098	Start	Default	
-4.368164:0.3603516:-31.12646	-3.647461:0.7294922:-26.98682	1.779785:2.95752:-30.62988	0.8305664:8.077148:-12.28711	0.2523748:14.85281:-37.77229	Start	Default	
-3.788086:2.381836:-30.83203	-3.111328:3.260742:-27.26807	2.504883:3.757324:-30.2124	0.8305664:8.077148:-12.28711	0.263907:14.90279:-37.96642	Start	Bottle	
-3.788086:2.381836:-30.83203	-3.111328:3.260742:-27.26807	2.504883:3.757324:-30.2124	0.8305664:8.077148:-12.28711	0.2833199:14.91281:-38.00034	Start	Bottle	
-3.788086:2.381836:-30.83203	-3.111328:3.260742:-27.26807	2.504883:3.757324:-30.2124	0.8305664:8.077148:-12.28711	0.2922387:14.91393:-37.99958	Start	Bottle	
-2.852051:4.855957:-29.86523	-2.078613:5.682129:-26.4375	3.612305:4.754883:-29.38623	0.8305664:8.077148:-12.28711	0.2559067:14.86864:-37.8307	Start	Default	
-2.852051:4.855957:-29.86523	-2.078613:5.682129:-26.4375	3.612305:4.754883:-29.38623	0.8305664:8.077148:-12.28711	0.2438894:14.86248:-37.8151	Start	Default	
-2.852051:4.855957:-29.86523	-2.078613:5.682129:-26.4375	3.612305:4.754883:-29.38623	0.8305664:8.077148:-12.28711	0.2503613:14.79518:-37.55771	Start	Default	
-2.852051:4.855957:-29.86523	-2.078613:5.682129:-26.4375	3.612305:4.754883:-29.38623	0.8305664:8.077148:-12.28711	0.2456275:14.83889:-37.72804	Start	Default	
-2.852051:4.855957:-29.86523	-2.078613:5.682129:-26.4375	3.612305:4.754883:-29.38623	0.8305664:8.077148:-12.28711	0.2368362:14.90753:-37.99632	Start	Default	
-1.146973:7.009277:-27.36914	0.05273438:7.075195:-24.43799	4.63623:5.550293:-27.99316	0.8305664:8.077148:-12.28711	0.2405637:14.90899:-37.99994	Start	Default	
-1.146973:7.009277:-27.36914	0.05273438:7.075195:-24.43799	4.63623:5.550293:-27.99316	0.8305664:8.077148:-12.28711	0.2812112:14.89136:-37.91478	Start	Bottle	
-1.146973:7.009277:-27.36914	0.05273438:7.075195:-24.43799	4.63623:5.550293:-27.99316	0.8305664:8.077148:-12.28711	0.3164258:14.69161:-37.18587	Start	Bottle	
0.4482422:7.844238:-24.19629	2.368652:7.242188:-21.27832	5.304199:5.95459:-26.05957	0.8305664:8.077148:-12.28711	0.3044926:14.85805:-37.80038	Grasped	Bottle	
0.4482422:7.844238:-24.19629	2.368652:7.242188:-21.27832	5.304199:5.95459:-26.05957	0.8305664:8.077148:-12.28711	0.3065688:14.8163:-37.64317	Grasped	Bottle	
0.4482422:7.844238:-24.19629	2.368652:7.242188:-21.27832	5.304199:5.95459:-26.05957	0.8305664:8.077148:-12.28711	0.2888007:14.8683:-37.82971	Grasped	Bottle	
0.4482422:7.844238:-24.19629	2.368652:7.242188:-21.27832	5.304199:5.95459:-26.05957	0.8305664:8.077148:-12.28711	0.2517068:14.82334:-37.64751	Grasped	Default	
1.019531:7.417969:-21.69141	4.025391:6.42041:-18.27686	5.633789:5.778809:-24.09961	0.8305664:8.077148:-12.28711	0.2562543:14.78915:-37.51162	Grasped	Default	
1.019531:7.417969:-21.69141	4.025391:6.42041:-18.27686	5.633789:5.778809:-24.09961	0.8305664:8.077148:-12.28711	0.2565179:14.79198:-37.5275	Grasped	Default	
1.019531:7.417969:-21.69141	4.025391:6.42041:-18.27686	5.633789:5.778809:-24.09961	0.8305664:8.077148:-12.28711	0.251112:14.79397:-37.53287	Grasped	Default	
1.019531:7.417969:-21.69141	4.025391:6.42041:-18.27686	5.633789:5.778809:-24.09961	0.8305664:8.077148:-12.28711	0.2463031:14.8381:-37.72078	Grasped	Default	
1.07666:6.684082:-19.78418	4.794434:5.668945:-16.00049	5.52832:5.167969:-22.21436	0.8305664:8.077148:-12.28711	0.2448161:14.82562:-37.65799	Grasped	Default	
1.07666:6.684082:-19.78418	4.794434:5.668945:-16.00049	5.52832:5.167969:-22.21436	0.8305664:8.077148:-12.28711	0.2665677:14.64804:-37.04118	Grasped	Bottle	
1.07666:6.684082:-19.78418	4.794434:5.668945:-16.00049	5.52832:5.167969:-22.21436	0.8305664:8.077148:-12.28711	0.2438488:14.84397:-37.73514	Grasped	Default	
0.7602539:6.038086:-18.50977	4.666992:5.115234:-14.48438	5.128418:4.412109:-20.75537	0.8305664:8.077148:-12.28711	0.2397635:14.86038:-37.80004	Grasped	Default	
0.7602539:6.038086:-18.50977	4.666992:5.115234:-14.48438	5.128418:4.412109:-20.75537	0.8305664:8.077148:-12.28711	0.2294391:14.909:-37.99615	Grasped	Default	
0.7602539:6.038086:-18.50977	4.666992:5.115234:-14.48438	5.128418:4.412109:-20.75537	0.8305664:8.077148:-12.28711	0.2321713:14.89758:-37.95083	Grasped	Default	
0.7602539:6.038086:-18.50977	4.666992:5.115234:-14.48438	5.128418:4.412109:-20.75537	0.8305664:8.077148:-12.28711	0.2281806:14.9086:-37.99456	Grasped	Default	
0.2416992:5.453613:-17.61328	4.187988:4.631836:-13.50879	4.627441:3.75293:-19.79297	0.8305664:8.077148:-12.28711	0.2396798:14.84691:-37.75514	Grasped	Default	
0.2416992:5.453613:-17.61328	4.187988:4.631836:-13.50879	4.627441:3.75293:-19.79297	0.8305664:8.077148:-12.28711	0.2410611:14.86757:-37.83353	Grasped	Default	
0.2416992:5.453613:-17.61328	4.187988:4.631836:-13.50879	4.627441:3.75293:-19.79297	0.8305664:8.077148:-12.28711	0.2467631:14.77466:-37.45498	Grasped	Default	
0.2416992:5.453613:-17.61328	4.187988:4.631836:-13.50879	4.627441:3.75293:-19.79297	0.8305664:8.077148:-12.28711	0.2441402:14.75252:-37.35847	Grasped	Default	
-0.2416992:4.790039:-16.88818	3.533203:4.21875:-12.82324	4.108887:3.168457:-19.05469	0.8305664:8.077148:-12.28711	0.2436307:14.75471:-37.36395	Grasped	Default	
-0.2416992:4.790039:-16.88818	3.533203:4.21875:-12.82324	4.108887:3.168457:-19.05469	0.8305664:8.077148:-12.28711	0.2438209:14.75308:-37.35507	Grasped	Default	
-0.2416992:4.790039:-16.88818	3.533203:4.21875:-12.82324	4.108887:3.168457:-19.05469	0.8305664:8.077148:-12.28711	0.2472165:14.73349:-37.27439	Grasped	Default	
-0.6196289:4.007813:-16.229	2.808105:3.757324:-12.37061	3.713379:2.707031:-18.54492	0.8305664:8.077148:-12.28711	0.2625172:14.75701:-37.38529	Grasped	Default	
-0.6196289:4.007813:-16.229	2.808105:3.757324:-12.37061	3.713379:2.707031:-18.54492	0.8305664:8.077148:-12.28711	0.2628573:14.7833:-37.49368	Grasped	Default	
-0.6196289:4.007813:-16.229	2.808105:3.757324:-12.37061	3.713379:2.707031:-18.54492	0.8305664:8.077148:-12.28711	0.2633711:14.78002:-37.48157	Grasped	Default	
-0.6196289:4.007813:-16.229	2.808105:3.757324:-12.37061	3.713379:2.707031:-18.54492	0.8305664:8.077148:-12.28711	0.2580321:14.81092:-37.60645	Grasped	Bottle	
-0.8657227:3.04541:-15.41602	2.188477:3.335449:-12.10254	3.396973:2.368652:-18.19336	0.8261719:8.077148:-12.28711	0.2455134:14.80578:-37.58232	Grasped	Default	
-0.8657227:3.04541:-15.41602	2.188477:3.335449:-12.10254	3.396973:2.368652:-18.19336	0.8261719:8.077148:-12.28711	0.2332011:14.79711:-37.5364	Grasped	Default	
-0.8657227:3.04541:-15.41602	2.188477:3.335449:-12.10254	3.396973:2.368652:-18.19336	0.8261719:8.077148:-12.28711	0.236898:14.80555:-37.57243	Grasped	Default	
-0.6547852:2.408203:-14.58984	1.907227:2.988281:-11.98828	3.199219:2.126953:-17.96045	0.7822266:8.077148:-12.30908	0.2469447:14.80479:-37.5845	Grasped	Default	
-0.6547852:2.408203:-14.58984	1.907227:2.988281:-11.98828	3.199219:2.126953:-17.96045	0.7822266:8.077148:-12.30908	0.2684011:14.72094:-37.29456	Grasped	Bottle	
-0.6547852:2.408203:-14.58984	1.907227:2.988281:-11.98828	3.199219:2.126953:-17.96045	0.7822266:8.077148:-12.30908	0.4915914:14.43899:-36.73106	Grasped	Default	
-0.5361328:2.311523:-14.19434	1.902832:2.71582:-11.92676	3.133301:1.990723:-17.80664	0.7998047:8.077148:-12.26074	0.2451073:14.89125:-37.98484	Grasped	CupRight	
-0.5361328:2.311523:-14.19434	1.902832:2.71582:-11.92676	3.133301:1.990723:-17.80664	0.7998047:8.077148:-12.26074	0.248305:14.8911:-37.9866	Grasped	CupRight	
-0.5361328:2.311523:-14.19434	1.902832:2.71582:-11.92676	3.133301:1.990723:-17.80664	0.7998047:8.077148:-12.26074	0.254574:14.88808:-37.98939	Grasped	Default	
-0.5361328:2.311523:-14.19434	1.902832:2.71582:-11.92676	3.133301:1.990723:-17.80664	0.7998047:8.077148:-12.26074	0.2730011:14.87838:-37.96881	Grasped	CupRight	
-0.5361328:2.311523:-14.19434	1.902832:2.71582:-11.92676	3.133301:1.990723:-17.80664	0.7998047:8.077148:-12.26074	0.2712275:14.88732:-37.98814	Grasped	CupRight	
