ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-3,647461,0,628418,-28,35352,	-1,634766,3,933105,-26,19141,	1,524902,1,880859,-30,75732,	0,9887695,7,97168,-11,59277,	0,5013021,14,69735,-33,6996,	Start	Default	
-3,647461,0,628418,-28,35352,	-1,634766,3,933105,-26,19141,	1,524902,1,880859,-30,75732,	0,9887695,7,97168,-11,59277,	0,3764454,14,82207,-37,08738,	ReachForBottle	Default	
-3,60791,0,5888672,-28,3667,	-1,625977,3,928711,-26,18701,	1,524902,1,889648,-30,75732,	0,9887695,7,97168,-11,59277,	0,3699757,14,88751,-37,56568,	ReachForBottle	Default	
-3,60791,0,5888672,-28,3667,	-1,625977,3,928711,-26,18701,	1,524902,1,889648,-30,75732,	0,9887695,7,97168,-11,59277,	0,3724231,14,8607,-37,28435,	ReachForBottle	Default	
-3,60791,0,5888672,-28,3667,	-1,625977,3,928711,-26,18701,	1,524902,1,889648,-30,75732,	0,9887695,7,97168,-11,59277,	0,3584404,14,83831,-36,94414,	ReachForBottle	Default	
-3,537598,0,6108398,-28,3623,	-1,656738,3,928711,-26,20459,	1,520508,1,907227,-30,76172,	0,9887695,7,97168,-11,59277,	0,357978,14,82736,-36,77924,	ReachForBottle	Default	
-3,537598,0,6108398,-28,3623,	-1,656738,3,928711,-26,20459,	1,520508,1,907227,-30,76172,	0,9887695,7,97168,-11,59277,	0,3679868,14,81732,-36,71393,	ReachForBottle	Default	
-3,537598,0,6108398,-28,3623,	-1,656738,3,928711,-26,20459,	1,520508,1,907227,-30,76172,	0,9887695,7,97168,-11,59277,	0,3712156,14,81727,-36,70633,	ReachForBottle	Default	
-3,537598,0,6108398,-28,3623,	-1,656738,3,928711,-26,20459,	1,520508,1,907227,-30,76172,	0,9887695,7,97168,-11,59277,	0,3698854,14,81772,-36,72618,	ReachForBottle	Default	
-3,414551,0,5625,-28,31836,	-1,678711,3,928711,-26,21338,	1,516113,1,911621,-30,77051,	0,9887695,7,97168,-11,59277,	0,3694954,14,81589,-36,69783,	ReachForBottle	Default	
-3,414551,0,5625,-28,31836,	-1,678711,3,928711,-26,21338,	1,516113,1,911621,-30,77051,	0,9887695,7,97168,-11,59277,	0,3719147,14,81086,-36,64751,	ReachForBottle	Default	
-3,414551,0,5625,-28,31836,	-1,678711,3,928711,-26,21338,	1,516113,1,911621,-30,77051,	0,9887695,7,97168,-11,59277,	0,3828214,14,78182,-36,28952,	ReachForBottle	Default	
-3,414551,0,5625,-28,31836,	-1,678711,3,928711,-26,21338,	1,516113,1,911621,-30,77051,	0,9887695,7,97168,-11,59277,	0,3701175,14,81229,-36,66523,	ReachForBottle	Default	
-3,353027,0,487793,-28,29639,	-1,731445,3,911133,-26,21338,	1,511719,1,911621,-30,7749,	0,9887695,7,97168,-11,59277,	0,3752461,14,80138,-36,53326,	ReachForBottle	Default	
-3,353027,0,487793,-28,29639,	-1,731445,3,911133,-26,21338,	1,511719,1,911621,-30,7749,	0,9887695,7,97168,-11,59277,	0,3717468,14,81324,-36,67726,	ReachForBottle	Default	
-3,353027,0,487793,-28,29639,	-1,731445,3,911133,-26,21338,	1,511719,1,911621,-30,7749,	0,9887695,7,97168,-11,59277,	0,3684799,14,82108,-36,77747,	ReachForBottle	Default	
-3,287109,0,5493164,-28,24365,	-1,792969,3,893555,-26,21338,	1,50293,1,907227,-30,7793,	0,9887695,7,97168,-11,59277,	0,3794868,14,79438,-36,46106,	ReachForBottle	Default	
-3,287109,0,5493164,-28,24365,	-1,792969,3,893555,-26,21338,	1,50293,1,907227,-30,7793,	0,9887695,7,97168,-11,59277,	0,3775991,14,7972,-36,49842,	ReachForBottle	Default	
-3,287109,0,5493164,-28,24365,	-1,792969,3,893555,-26,21338,	1,50293,1,907227,-30,7793,	0,9887695,7,97168,-11,59277,	0,361854,14,83823,-36,96002,	ReachForBottle	Default	
-3,287109,0,5493164,-28,24365,	-1,792969,3,893555,-26,21338,	1,50293,1,907227,-30,7793,	0,9887695,7,97168,-11,59277,	0,3429903,14,8868,-37,53251,	ReachForBottle	Default	
-3,208008,0,6108398,-28,18213,	-1,850098,3,893555,-26,23535,	1,498535,1,907227,-30,78369,	0,9887695,7,97168,-11,59277,	0,3405041,14,89159,-37,58307,	ReachForBottle	Default	
-3,208008,0,6108398,-28,18213,	-1,850098,3,893555,-26,23535,	1,498535,1,907227,-30,78369,	0,9887695,7,97168,-11,59277,	0,343599,14,8838,-37,4843,	ReachForBottle	Default	
-3,208008,0,6108398,-28,18213,	-1,850098,3,893555,-26,23535,	1,498535,1,907227,-30,78369,	0,9887695,7,97168,-11,59277,	0,3557769,14,85313,-37,1353,	ReachForBottle	Default	
-3,208008,0,6108398,-28,18213,	-1,850098,3,893555,-26,23535,	1,498535,1,907227,-30,78369,	0,9887695,7,97168,-11,59277,	0,3502223,14,88178,-37,81903,	ReachForBottle	Default	
-3,115723,0,6811523,-28,14697,	-1,907227,3,897949,-26,26172,	1,489746,1,907227,-30,78809,	0,9887695,7,97168,-11,59277,	0,5587486,14,58633,-36,80882,	ReachForBottle	Default	
-3,115723,0,6811523,-28,14697,	-1,907227,3,897949,-26,26172,	1,489746,1,907227,-30,78809,	0,9887695,7,97168,-11,59277,	0,4587537,14,75394,-37,69688,	ReachForBottle	CupRight	
-3,115723,0,6811523,-28,14697,	-1,907227,3,897949,-26,26172,	1,489746,1,907227,-30,78809,	0,9887695,7,97168,-11,59277,	0,3361968,14,90355,-38,11381,	ReachForBottle	CupRight	
-2,931152,0,7075195,-28,05469,	-2,047852,3,928711,-26,2793,	1,485352,1,907227,-30,79248,	0,9887695,7,97168,-11,59277,	0,3406583,14,90187,-38,11434,	ReachForBottle	CupRight	
-2,931152,0,7075195,-28,05469,	-2,047852,3,928711,-26,2793,	1,485352,1,907227,-30,79248,	0,9887695,7,97168,-11,59277,	0,3425036,14,902,-38,11456,	ReachForBottle	CupRight	
-2,931152,0,7075195,-28,05469,	-2,047852,3,928711,-26,2793,	1,485352,1,907227,-30,79248,	0,9887695,7,97168,-11,59277,	0,3660916,14,90123,-38,11567,	ReachForBottle	Default	
-2,931152,0,7075195,-28,05469,	-2,047852,3,928711,-26,2793,	1,485352,1,907227,-30,79248,	0,9887695,7,97168,-11,59277,	0,3774923,14,87682,-38,06427,	ReachForBottle	CupRight	
-2,865234,0,6811523,-28,05029,	-2,100586,3,906738,-26,30566,	1,485352,1,911621,-30,80127,	0,9887695,7,97168,-11,59277,	0,3787135,14,87215,-38,0525,	ReachForBottle	CupRight	
-2,865234,0,6811523,-28,05029,	-2,100586,3,906738,-26,30566,	1,485352,1,911621,-30,80127,	0,9887695,7,97168,-11,59277,	0,3878277,14,86232,-38,03187,	ReachForBottle	CupRight	
-2,865234,0,6811523,-28,05029,	-2,100586,3,906738,-26,30566,	1,485352,1,911621,-30,80127,	0,9887695,7,97168,-11,59277,	0,3904883,14,85912,-38,02673,	ReachForBottle	CupRight	
-2,865234,0,6811523,-28,05029,	-2,100586,3,906738,-26,30566,	1,485352,1,911621,-30,80127,	0,9887695,7,97168,-11,59277,	0,391046,14,85708,-38,02192,	ReachForBottle	CupRight	
-2,790527,0,6767578,-28,02393,	-2,109375,3,919922,-26,31885,	1,480957,1,911621,-30,81006,	0,9887695,7,97168,-11,59277,	0,3941948,14,85292,-38,01328,	ReachForBottle	CupRight	
