ThumbPosition	IndexPosition	PalmPosition	ObjectPosition	GazePosition	Annotations	GazeAnnotations	
-3.533203:1.415039:-28.05469	-2.570801:3.994629:-26.08154	1.516113:1.995117:-30.27393	0.8393555:7.980469:-11.63672	0.2963551:14.91519:-38.01107	Start	Bottle	
-3.533203:1.415039:-28.05469	-2.570801:3.994629:-26.08154	1.516113:1.995117:-30.27393	0.8393555:7.980469:-11.63672	0.2693473:14.91546:-38.01079	Start	Bottle	
-3.533203:1.388672:-28.08105	-2.526855:4.047363:-26.07715	1.520508:1.995117:-30.27832	0.8393555:7.980469:-11.63672	0.2757449:14.9154:-38.01082	Start	Bottle	
-3.533203:1.388672:-28.08105	-2.526855:4.047363:-26.07715	1.520508:1.995117:-30.27832	0.8393555:7.980469:-11.63672	0.2756838:14.9151:-38.01062	Start	Bottle	
-3.533203:1.388672:-28.08105	-2.526855:4.047363:-26.07715	1.520508:1.995117:-30.27832	0.8393555:7.980469:-11.63672	0.2739748:14.9139:-38.00594	Start	Bottle	
-3.533203:1.388672:-28.08105	-2.526855:4.047363:-26.07715	1.520508:1.995117:-30.27832	0.8393555:7.980469:-11.63672	0.2753299:14.91031:-37.99361	Start	Bottle	
-3.528809:1.379883:-28.09424	-2.513672:4.100098:-26.07275	1.529297:2.003906:-30.28271	0.84375:7.980469:-11.63672	0.2783583:14.91438:-38.00824	Start	Bottle	
-3.528809:1.379883:-28.09424	-2.513672:4.100098:-26.07275	1.529297:2.003906:-30.28271	0.84375:7.980469:-11.63672	0.2825501:14.91112:-37.99658	Start	Bottle	
-3.528809:1.379883:-28.09424	-2.513672:4.100098:-26.07275	1.529297:2.003906:-30.28271	0.84375:7.980469:-11.63672	0.283127:14.91511:-38.01066	Start	Bottle	
-3.550781:1.393066:-28.125	-2.452148:4.192383:-26.05957	1.538086:2.01709:-30.28711	0.84375:7.980469:-11.63672	0.2852007:14.91509:-38.01065	Start	Bottle	
-3.550781:1.393066:-28.125	-2.452148:4.192383:-26.05957	1.538086:2.01709:-30.28711	0.84375:7.980469:-11.63672	0.2878547:14.91497:-38.01069	Start	Bottle	
-3.550781:1.393066:-28.125	-2.452148:4.192383:-26.05957	1.538086:2.01709:-30.28711	0.84375:7.980469:-11.63672	0.289555:14.91499:-38.01065	Start	Bottle	
