SOA	 Interactions	 Placements	 Progress
SOA4	 Pour	 Right	 1
SOA2	 Pour	 Right	 1
SOA1	 Place	 Right	 1
SOA3	 Pour	 Left	 1
SOA2	 Pour	 Left	 1
SOA4	 Place	 Left	 1
SOA4	 Place	 Left	 1
SOA4	 Pour	 Left	 1
SOA3	 Pour	 Right	 1
SOA4	 Place	 Right	 1
SOA4	 Pour	 Right	 1
SOA4	 Place	 Left	 1
SOA1	 Pour	 Left	 1
SOA2	 Pour	 Left	 1
SOA1	 Pour	 Right	 1
SOA3	 Pour	 Left	 1
SOA4	 Place	 Left	 1
SOA1	 Place	 Right	 1
SOA3	 Place	 Right	 1
SOA2	 Pour	 Right	 1
SOA4	 Place	 Right	 1
SOA4	 Pour	 Left	 1
SOA2	 Pour	 Right	 1
SOA2	 Place	 Right	 1
SOA4	 Place	 Right	 1
SOA3	 Pour	 Right	 1
SOA1	 Place	 Left	 1
SOA3	 Pour	 Right	 1
SOA4	 Place	 Right	 1
SOA2	 Place	 Right	 1
SOA2	 Place	 Right	 1
SOA2	 Place	 Right	 1
SOA1	 Place	 Left	 1
SOA3	 Place	 Left	 1
SOA3	 Pour	 Left	 1
SOA3	 Place	 Left	 1
SOA2	 Pour	 Right	 1
SOA4	 Pour	 Right	 1
SOA3	 Place	 Left	 1
SOA3	 Pour	 Left	 1
SOA1	 Place	 Right	 1
SOA1	 Place	 Left	 1
SOA2	 Pour	 Left	 1
SOA3	 Pour	 Right	 1
SOA2	 Place	 Right	 1
SOA1	 Pour	 Right	 1
SOA2	 Pour	 Right	 1
SOA4	 Pour	 Left	 1
SOA1	 Place	 Right	 1
SOA1	 Place	 Right	 1
SOA4	 Pour	 Left	 1
SOA4	 Pour	 Right	 1
SOA2	 Pour	 Right	 1
SOA3	 Place	 Left	 1
SOA4	 Pour	 Left	 1
SOA3	 Place	 Right	 1
SOA1	 Place	 Left	 1
SOA3	 Place	 Left	 1
SOA3	 Pour	 Right	 1
SOA1	 Pour	 Right	 1
SOA1	 Pour	 Right	 1
SOA1	 Place	 Right	 1
SOA2	 Pour	 Right	 1
SOA4	 Place	 Left	 1
SOA4	 Place	 Left	 1
SOA4	 Pour	 Left	 1
SOA3	 Place	 Right	 1
SOA1	 Pour	 Right	 1
SOA1	 Place	 Left	 1
SOA1	 Place	 Left	 1
SOA1	 Place	 Right	 1
SOA3	 Place	 Right	 1
SOA3	 Pour	 Right	 1
SOA2	 Pour	 Left	 1
SOA3	 Place	 Right	 1
SOA3	 Place	 Right	 1
SOA1	 Pour	 Left	 1
SOA2	 Place	 Left	 1
SOA4	 Place	 Left	 1
SOA2	 Place	 Left	 1
SOA1	 Pour	 Left	 1
SOA3	 Place	 Left	 1
SOA3	 Place	 Left	 1
SOA4	 Place	 Right	 1
SOA2	 Pour	 Left	 1
SOA2	 Pour	 Right	 1
SOA2	 Place	 Right	 1
SOA4	 Pour	 Left	 1
SOA1	 Pour	 Left	 1
SOA3	 Place	 Right	 1
SOA3	 Place	 Right	 1
SOA2	 Pour	 Left	 1
SOA4	 Place	 Right	 1
SOA3	 Pour	 Left	 1
SOA1	 Pour	 Right	 1
SOA2	 Place	 Right	 1
SOA1	 Pour	 Right	 1
SOA2	 Place	 Left	 1
SOA3	 Pour	 Left	 1
SOA4	 Pour	 Right	 1
SOA4	 Place	 Left	 1
SOA1	 Pour	 Left	 1
SOA4	 Place	 Right	 1
SOA3	 Place	 Right	 1
SOA3	 Pour	 Left	 1
SOA1	 Place	 Left	 1
SOA3	 Pour	 Right	 1
SOA1	 Pour	 Left	 1
SOA4	 Place	 Right	 1
SOA2	 Place	 Left	 1
SOA1	 Pour	 Left	 1
SOA3	 Place	 Right	 1
SOA4	 Pour	 Right	 1
SOA3	 Pour	 Left	 1
SOA2	 Place	 Left	 1
SOA3	 Pour	 Right	 1
SOA3	 Pour	 Right	 1
SOA1	 Place	 Left	 1
SOA4	 Pour	 Right	 1
SOA2	 Pour	 Left	 1
SOA2	 Pour	 Right	 1
SOA1	 Pour	 Right	 1
SOA3	 Pour	 Right	 1
SOA2	 Place	 Left	 1
SOA4	 Place	 Right	 1
SOA1	 Pour	 Right	 1
SOA4	 Pour	 Left	 1
SOA1	 Pour	 Left	 1
SOA2	 Place	 Right	 1
SOA2	 Place	 Right	 1
SOA3	 Place	 Left	 1
SOA1	 Place	 Left	 1
SOA1	 Pour	 Left	 1
SOA3	 Place	 Left	 1
SOA1	 Place	 Right	 1
SOA2	 Place	 Left	 1
SOA1	 Place	 Left	 1
SOA4	 Pour	 Left	 1
SOA4	 Pour	 Right	 1
SOA2	 Place	 Left	 1
SOA4	 Place	 Right	 1
SOA4	 Place	 Left	 1
SOA2	 Pour	 Right	 1
SOA2	 Pour	 Left	 1
SOA2	 Pour	 Left	 1
SOA1	 Place	 Right	 1
SOA4	 Pour	 Left	 1
SOA1	 Pour	 Left	 1
SOA2	 Place	 Left	 1
SOA4	 Pour	 Right	 1
SOA2	 Pour	 Left	 1
SOA4	 Place	 Left	 1
SOA4	 Pour	 Right	 1
SOA2	 Place	 Left	 1
SOA2	 Place	 Right	 1
SOA3	 Place	 Left	 1
SOA3	 Pour	 Left	 1
SOA3	 Pour	 Left	 1
SOA1	 Pour	 Right	 1
SOA1	 Place	 Right	 1
